"x1","x2","x3","A","y"
0.95,0,12.83,1,1.24
2.05,0,13.08,1,1.66
-0.65,1,12.24,0,0.46
0.81,0,9.43,1,-1.32
0.99,0,13.07,1,-0.26
-0.01,1,8.49,1,0.04
0.32,1,11.05,0,-0.36
-1.01,0,8.47,0,-2.48
0.47,0,11.43,0,-1.18
-0.7,1,11.5,0,-0.48
0.81,1,9.68,0,1.8
-0.81,0,10.08,1,-3.74
0.32,0,11.3,0,1.51
-0.85,0,6.61,0,-2.36
-0.25,0,13.06,0,-0.42
-1.55,0,10.81,0,0.09
0.13,0,11.65,1,-0.38
0.99,1,9.49,0,1.29
0.18,1,4.36,1,0.95
-1.77,1,12.24,1,-1.68
-0.62,0,9.22,1,-1.6
1.66,1,11.85,0,1.49
1.81,0,16.14,0,1.46
-1.18,0,6.53,0,0.79
-0.37,1,14.06,0,1.22
0.35,1,8.9,0,1.55
0.32,0,9.83,1,-0.18
-0.58,0,8.4,1,-0.5
-0.95,0,8.5,1,-0.44
-0.18,0,6.55,0,0.45
1.01,0,10.38,1,-0.62
0.02,0,11.42,1,-0.2
-0.65,1,9.44,1,-0.12
-0.5,0,5.14,1,-0.79
1.61,0,8.79,1,0.18
-0.45,1,11.24,1,-1.82
0.76,0,7.84,0,-0.85
1.47,1,8.23,1,0.83
0.44,0,6.49,1,1
-0.42,1,11.77,1,0.52
-0.04,0,7.99,0,0.68
-0.49,0,19.5,1,-2.3
1.23,0,13.04,0,0.27
-0.15,0,9.5,0,-1.51
1.55,0,10.01,1,-0.2
-0.56,1,7.85,0,0.04
-0.65,0,10.84,0,-0.79
0.14,1,10.02,0,1.44
0.02,0,4.81,1,0.57
-0.5,0,4.47,0,-0.9
-1.58,0,11.8,1,-1
0.03,1,3.05,1,0.44
-0.72,1,8.86,1,-1.83
1.08,0,14.97,1,-0.84
-0.95,0,5.01,0,-0.17
1.13,0,10.88,1,-1.92
-0.65,0,14.71,0,-0.45
0.29,0,11.54,0,-1.46
0.9,1,13.86,1,-0.24
-0.52,0,7.1,1,-0.91
0.55,1,11.9,1,-0.82
-0.09,1,10.55,1,-1.54
-1.14,0,14.05,1,-2.72
-0.27,1,17.46,1,-3.04
1.62,1,10.34,1,2.38
-0.21,0,13.29,0,0.63
-0.82,0,8.79,1,0.51
-0.05,0,8.92,1,-0.31
0.33,0,8.34,0,1.14
0.96,0,5.94,0,3.52
1.14,0,10.22,1,-1.78
0.1,1,9.88,1,-2.3
1.16,1,12.17,0,0.13
-0.76,0,9.36,0,0.54
-2.34,0,7.25,0,-3.07
-0.47,0,9.61,0,1.43
-0.52,0,15.52,0,1.05
-2.32,1,11.35,0,0.92
0.56,0,10.82,1,-2.69
-0.78,1,13.17,0,-1.19
-0.23,0,15.38,1,-1.33
-1.59,0,15.13,1,-3.22
0.55,0,8.71,0,1.4
1.89,0,9.76,0,0.43
-0.88,0,8.91,1,-0.88
-0.11,0,9.4,0,0.15
1.95,0,11.35,0,1.68
0.93,0,8.56,1,1.36
1.91,1,6.5,0,1.21
-0.01,0,9.28,1,-0.41
-0.15,0,14.35,0,-1.28
-0.51,0,15.56,0,-0.44
1.43,1,8.79,1,-0.65
-1.29,1,12.48,1,-2.42
0.31,0,9.61,1,-0.51
-0.05,0,9.64,0,1
2.25,0,7.98,1,0.89
-0.61,1,5.26,1,0.25
-1.51,0,15.41,1,-2.03
0.23,0,12.4,1,-2.79
-0.04,0,4.62,0,0.05
-0.84,0,8.96,0,-0.56
0.13,0,14.66,1,-0.62
-0.28,1,10.32,1,-0.61
-0.68,0,10.58,1,-2.4
0.5,1,12.55,1,-2.32
-0.33,1,12.97,1,-1.78
-1.83,0,11.88,1,-1.47
-2.65,0,11.25,0,0.07
-0.58,0,14.42,1,-0.8
1.45,0,15.13,1,-1.67
0.84,0,10.69,0,0.76
1.22,0,9.38,0,2.01
0.98,0,10.04,0,0.4
0.32,0,11.05,1,-1.79
-1.51,1,7.97,0,-0.89
0.21,0,11.93,0,-0.69
1.6,0,6.13,1,-0.58
-3.4,1,16.68,1,-5.06
-0.78,0,2.55,0,0.98
1.1,1,10.52,0,1.93
0.53,0,9.82,0,0.8
0.79,1,11.64,0,0.72
0.46,0,8.77,1,-0.78
0.54,0,17.21,0,0.39
0.01,0,9.57,1,-0.55
-0.92,0,10.07,0,1.25
-1.23,0,13.37,1,-2.36
0.04,0,12.09,0,0.04
-0.42,1,10.54,1,-0.31
-0.9,0,9.49,1,-0.34
0.42,1,9.3,0,2.25
0.15,1,5.94,0,0.89
1.46,0,11.89,1,-0.94
-1.12,1,11.34,1,-0.97
-0.52,1,6.87,0,-0.13
-0.07,1,9.44,1,-0.93
-1.41,1,13.86,1,-3.51
-0.28,1,13.82,0,0.93
-0.71,1,6.34,0,0.53
-2.15,0,12.41,1,-2.99
-0.28,0,10.38,1,-1.91
-0.53,0,11.17,0,-0.57
1.13,0,7.38,1,-0.51
-0.6,1,9.38,0,-0.72
0.56,1,3.82,0,0.61
0.14,1,7.78,1,0.32
-1.24,0,9.08,1,-1.71
0.37,0,13.91,0,0.97
-0.11,0,6.82,1,-2.66
0.17,0,10.91,1,1.17
0.66,0,10.27,0,2.42
0.11,1,5.91,0,0.82
1.59,0,10.85,1,-1.29
0.12,0,14.74,0,0.97
-1.25,0,12.82,0,-3.21
0.74,1,13.39,0,2.28
-1.22,1,9.36,0,0.32
-1.92,0,12.87,1,-4.25
-0.81,1,2.89,1,1.23
-0.74,0,6.24,0,-0.55
-0.61,1,9.48,0,0.02
1.61,1,10.33,1,0.62
1.64,1,11.55,1,0.89
0.73,0,12.16,0,1.7
-1.27,1,8.62,0,-1.44
0.02,0,8.56,1,-3.64
0.49,1,8.95,1,1.92
-0.14,0,8.31,1,-2.69
0.17,0,9.63,1,-0.24
-0.94,0,12.63,0,-0.57
-1.29,1,11.39,0,-0.31
1.41,0,8.68,0,2.33
0.27,0,7.92,0,0.31
-0.41,1,9.69,1,-0.09
0.33,0,9.38,1,-1.49
2.06,0,13.66,0,1.88
0.36,0,3.19,0,0.29
1.41,1,7.08,1,2.03
1.37,1,11.86,0,2.1
-0.41,1,11.99,1,-1.36
0.76,0,8.05,0,-0.6
-0.65,0,9.37,0,-1.56
-1.47,0,15.39,1,-3.92
-1.2,0,6.7,0,-0.57
-0.15,1,15.33,0,-0.56
1.8,1,10.95,0,1.75
0.1,1,13.15,0,1.56
-0.8,0,8.42,0,-0.98
0.23,1,6.64,0,1.14
0.7,0,11.19,0,0.43
-1.3,0,11.26,1,-2.49
-1.05,0,8.72,0,-1.16
-1.94,0,7.37,1,-1.78
-1.27,0,13.9,0,-1.34
-0.89,1,5.99,1,0.9
-0.29,0,14.29,1,-2
1.41,0,8.22,0,1.81
0.89,0,4.35,0,2.37
0.27,0,16.54,1,-1.49
-0.57,1,11.14,0,-1.68
-0.04,0,6.79,1,-1.57
0.55,0,8.87,1,-0.64
-0.5,1,7.62,1,0.68
1.06,1,10.95,1,-0.01
1.1,0,10.4,1,-0.45
-1.17,0,6.28,0,-0.33
-0.75,0,10.77,0,-0.41
1.21,0,7.98,1,0.43
-1.69,0,11.9,0,-1.38
0.42,0,11.81,0,1.51
0.23,1,9.9,0,0.39
3.2,0,7.63,1,2.3
-2.73,0,8.59,1,-2.17
-0.84,0,6.96,0,-0.21
0.67,0,12.5,0,0.9
1.67,1,14.06,1,-0.91
0.84,0,10.15,1,1.98
-1.43,0,11.01,1,-1.66
2.24,1,9.37,1,0.28
-1.76,0,10.66,1,-0.72
-1.11,0,15.62,0,-0.97
-0.04,0,10.79,1,0.38
2.23,1,14,1,1.53
0.51,0,10.74,0,0.2
0.73,0,5.87,0,0.71
1.73,0,6.43,0,0.61
0.98,1,7.08,1,-0.9
-1.22,0,9.7,0,-1.7
0.71,0,9.67,0,0.69
-0.11,0,13.58,1,-2.05
1.78,0,5.03,0,2.17
-0.24,0,6.86,0,-0.4
-1.53,0,4.78,1,-2.15
0.49,0,11.54,0,-0.39
0.35,1,8.66,0,-1.82
-0.02,1,4.48,1,1.66
-1.06,0,7.54,0,-0.19
-0.84,0,7.01,0,-0.29
-0.01,0,10.89,1,-0.97
1.04,0,11.67,1,-0.06
-0.36,1,6.18,1,-0.45
-0.87,0,13.08,1,-3.5
-2.7,0,11.4,1,-3.15
0.49,1,10.7,0,0.17
0.43,0,10.79,0,0.88
1.31,0,11.3,1,0.51
1.47,0,12.92,0,0.02
-0.14,0,8.41,0,-1.57
1.3,1,10.14,1,1.92
0,0,18.38,0,-1.09
-0.68,1,6.74,1,-1.31
-0.85,0,10.89,0,-0.53
-0.35,0,5.69,0,-1.53
0.23,0,10.64,0,0.64
-0.03,1,12.92,1,-1.66
0.2,1,2.94,0,1.78
0.2,0,8.25,0,-1.31
0.71,0,16.76,1,-0.99
-0.27,0,7.68,0,-0.51
1.64,0,5.73,1,3.27
0.44,0,11.37,1,-1.29
-1.19,0,7.83,0,-1.84
-0.28,0,14.45,0,-0.68
0.52,0,13.25,1,-1.11
-0.41,0,12.4,0,-0.43
0.34,0,5.72,1,-0.46
0.43,0,11.08,1,-0.89
1.3,0,11.14,1,0
-0.65,0,3.75,0,-2.85
-0.02,0,11.88,1,-2.87
-0.57,0,10.9,0,-1.99
-1.13,0,6.82,1,-0.29
-1.85,0,9.37,1,-2.43
0.2,0,16.14,0,0.03
0.6,1,12.35,1,1.14
0.64,0,6.17,0,-0.54
-1.39,0,10.27,1,0.15
-1.13,0,15.24,0,-1
-1.14,1,10.1,0,-2.02
-0.69,1,8.47,0,-1.12
0.17,0,13.49,1,-1.76
0.59,0,8.6,1,0.38
-0.82,1,9.31,1,-1
-2.86,0,12.57,0,-2.94
0.95,0,15.34,0,-0.27
0.62,0,7.52,1,0.74
-0.7,0,9.31,1,-1.41
-1.07,1,9.79,1,-0.78
-0.3,0,12.68,1,-1.83
0.11,1,14.62,1,-2.62
0.72,0,15.07,1,-0.37
1.39,1,9.32,1,0.99
-0.85,1,12.79,0,1.19
0.29,0,7.38,1,1.58
1.33,1,8.39,1,1.17
-0.9,0,6.41,0,-0.82
-0.22,1,6.7,0,-2.4
-1.77,0,11.77,0,-1.24
0.29,0,12.2,0,0.16
-0.64,0,10.65,0,1.07
-0.92,0,7.71,1,-1.75
-0.78,0,10.89,0,0.62
0.44,1,6.39,0,-0.09
-2.16,1,4.73,1,-1.27
-0.43,1,8.49,0,0.26
-1.01,0,8.76,0,0.14
-0.96,1,7.15,0,-0.58
0.47,0,3.99,0,1.53
0.35,0,8.73,1,1.23
-0.11,0,11.6,1,-1.54
0.54,0,12.36,1,-2.14
-0.6,0,14.79,0,-0.43
-2.02,0,10.13,1,-1.42
1.15,0,16.83,0,0.37
-0.23,0,11.36,0,-0.02
-0.37,1,9.53,1,0.11
0.16,0,4.21,0,-0.06
0.77,0,17.29,1,-2.46
0.43,1,14.23,1,-1.04
0.93,1,11.9,0,1.84
0.05,0,13.36,0,-1.37
-0.5,1,13.13,0,-0.99
-0.3,0,12.58,0,-0.88
0.82,0,12.83,1,-2.26
-0.85,0,13.19,0,-1.24
-0.95,1,7.93,1,2.04
0.31,1,9.19,1,-1.15
0.61,1,10.35,0,-0.72
-1.69,0,7.43,0,-2.3
0.78,1,16.53,1,-1.51
0.01,1,6.03,0,-1.09
-0.18,1,10.43,0,1.01
1.11,0,7.62,1,0.24
1.48,0,10.27,1,-1.38
-1.15,0,10.51,1,-2.57
1.01,0,9.85,0,0.61
-0.63,0,0.72,1,0.57
0.13,0,2.51,1,1.74
0.48,1,12.16,1,-0.58
0.13,0,7.32,0,-1.4
-1.46,0,10.29,0,-0.56
-0.51,0,12.4,0,-0.82
1.54,0,9.5,0,0.15
0.17,0,7.86,1,0.79
-0.84,0,9.32,0,-1.56
-0.66,0,14.83,0,0.78
1.06,0,14.68,1,-1.2
0.35,1,15.84,1,-0.26
-0.9,0,14.5,1,-1.74
0.01,0,5.22,0,-0.1
0.6,0,4.43,0,2.55
1.72,0,10.2,0,1.97
-0.88,0,9.47,1,-2.12
-0.38,0,5.57,0,-0.4
1,0,4.02,1,0.85
-0.46,0,13.74,1,-0.66
1.46,0,15.01,1,0.49
1.04,0,10.79,1,1.25
-1.66,0,10.51,1,-0.32
0.42,0,9.63,0,0.73
-1.42,0,8.52,0,-0.88
-1.46,0,5.83,1,-0.11
0.07,0,9.39,1,-0.09
0.06,0,6.85,0,0.81
-0.03,0,10.57,0,-0.07
1.26,0,12.12,1,0.93
0.29,0,9.13,1,0.09
-0.67,1,14.45,0,0.85
0.12,0,15.03,1,-1.93
-0.51,0,13.71,0,-0.29
-0.07,0,5.76,1,-1.01
-1.15,1,5.37,0,0.3
-0.12,1,10.23,0,-1.05
0.1,0,10.47,0,-1.18
-0.7,1,12.02,0,1.05
0.04,0,5.59,1,-2.7
-0.65,1,9.17,0,0.42
-0.64,0,11.06,0,-1.58
-0.2,1,5.01,0,1.21
0.49,0,10.56,0,0.77
-0.21,0,15.71,0,0.02
0.19,0,5.44,0,0.81
0.97,0,13.99,1,-0.72
-0.29,0,13.15,1,-2.28
-0.1,1,13.17,0,-0.95
0.51,0,14.29,0,0.62
-1.26,1,10.06,0,-1.15
0.54,0,10.6,0,1.12
-0.53,0,7.03,0,-1.41
-1.14,0,11.56,0,-2.38
-1.77,1,13.82,0,-0.58
-0.71,0,10.58,1,-0.21
-1.17,0,13.53,1,-2.21
-1.18,0,13.73,0,-1.08
1.63,0,6.13,1,1.08
-1.21,0,11.01,0,0.37
1,1,8.57,1,0.17
0.55,1,9.5,1,0.27
-0.88,0,9.5,1,-1.51
-0.61,1,6.63,0,-0.07
-0.41,0,12.82,0,0.88
0.19,0,7.26,1,0.23
-0.35,0,11.46,0,-0.02
0.83,1,4.61,1,-0.18
-0.29,1,8.89,1,-0.35
-2.17,0,9.37,0,-0.93
-0.1,0,8.02,0,0.34
-1.85,1,9.47,1,-2.53
0.94,0,13.11,1,-1.47
-0.75,1,11.76,0,-0.97
-1.12,0,7.62,0,-1.73
-0.59,0,9.36,0,0.59
0.59,0,9.71,0,1.45
-1.92,1,8.86,1,-0.68
0.25,0,9.6,0,-0.31
-0.97,0,9.12,0,-0.79
-0.01,0,16.41,1,-1.74
0.68,0,10.87,1,0.35
0.57,1,11.64,1,-0.23
1.5,0,8.26,1,0.25
0.13,0,10.73,1,-3.26
-0.7,1,10.86,0,-0.43
2.15,0,11.19,0,0.93
-0.3,1,10.55,0,0.52
0.81,0,15.95,0,0.25
0.93,0,4.1,0,1.41
0.45,0,11.63,1,-1.12
1.43,0,11.59,0,0.36
-0.21,0,7.86,0,-2.2
-1.23,0,10.18,0,-1.7
-0.36,1,7.27,1,0.39
-0.55,0,7.77,1,-1.33
0.33,0,3.37,1,1.04
-0.93,0,13.81,1,-4.88
0.68,1,8.36,1,0.68
-1.16,0,11.82,1,-2.37
1.76,0,9.18,1,0.28
1.45,0,16.07,1,0.05
-0.45,0,10.73,1,-1.05
0.14,0,16.66,1,-1.94
-0.37,0,10.49,1,0.74
-1.21,0,14.35,1,-2.89
-2.66,1,10.37,0,-0.99
-0.03,1,11.05,0,-0.06
-0.03,0,9.27,1,-1.32
1.64,0,10.31,1,1.12
-2,0,12.15,0,-1.54
-0.66,0,11.47,1,-2.42
0.88,0,5.07,0,0.43
0.34,1,13.65,1,-0.96
0.12,0,7.77,1,0.12
-0.62,1,12.83,1,-1.32
0.2,1,9.63,1,0.05
-0.24,0,10.21,0,1.76
0.11,0,11.56,0,-1.58
-0.58,0,7.3,1,-1.15
1.19,0,9.8,0,0.89
1.06,0,7.91,0,-0.48
1.34,1,12.04,1,2.89
-0.37,0,11,0,-0.7
-0.3,0,5.73,0,0.9
-0.35,1,9.06,1,-0.91
1.37,0,8.21,1,-0.28
-0.3,1,8.01,0,-0.93
0.1,1,10.02,1,-1.29
0.38,0,4.55,0,-2.28
0.68,0,15.77,1,-0.76
-0.27,0,11.43,0,-0.53
2.35,1,4.2,1,2.8
-0.93,0,7.26,0,-0.89
-1.43,0,11.11,0,-0.76
0.04,1,3.12,1,0.2
1.77,0,8.55,1,0.49
0.05,1,9.94,0,0.82
0.11,0,13.81,1,-1.13
0.86,0,15.03,1,-1.31
-0.1,0,13.97,0,-1.61
0.1,0,14.45,1,-1.1
1.21,1,8.51,0,1.85
0.09,0,13.41,0,1.87
-0.75,0,10.12,0,-2.15
0.39,0,15.44,1,-1.39
-1.09,1,11,0,-0.64
-1.46,0,12.06,1,-1.16
-0.12,0,11.15,0,0.19
-1.1,1,12.45,0,-1.76
0.58,0,11.15,0,-0.16
-0.15,1,8.65,0,0.75
-0.77,1,10.32,0,-1.15
1.62,1,18.82,0,-0.75
-0.11,1,6.77,1,2.13
1.42,0,11.52,1,0.21
-0.11,0,11.26,1,-0.45
-0.33,0,13.02,0,-0.92
0.37,1,3.04,1,1.05
1.03,0,6.22,0,-1.24
2.71,0,10.38,0,3.79
-1.03,1,7.22,0,0.27
-0.18,0,8.71,1,-1.74
1.08,0,12.04,0,1.15
0.34,1,9.9,1,0.55
-0.19,1,7.66,0,-0.83
-1.3,0,9.13,1,-2.67
-0.28,1,15.2,1,-0.94
-0.18,0,14.8,1,-1.56
-0.08,1,8.65,0,1.05
1.61,1,14.64,0,1.26
-0.46,1,11.83,1,-1.49
-1.58,0,12.68,1,-1.62
0.5,0,7.11,1,0.53
-0.11,1,5.39,1,1.08
-0.2,0,13.99,1,-4.05
0.64,0,7.8,1,-1.81
-2.91,1,8.11,0,-2.35
-0.55,1,10.66,0,-0.3
-0.15,0,5.05,1,0.88
0.61,0,11.78,0,0.76
-0.26,1,13.98,0,-0.56
-1.01,0,9.66,1,-2.6
0.37,1,4.82,0,2.94
0.02,0,8.23,0,1.02
0.11,1,8.33,1,0.58
1.16,0,13.14,1,0.34
-0.54,0,13.17,0,-0.45
-1.25,0,10.9,0,-1.91
-1.28,0,8.84,1,-2.34
-1.02,0,9.56,1,-2.64
-1.39,0,12.02,0,1.65
-0.05,0,12.43,1,-2.59
1.81,0,15.27,0,0.73
-0.1,1,6.35,0,0.68
0.78,1,11.13,1,-0.23
-1.1,0,10.78,0,-2.42
-0.22,0,4.83,1,0.21
0.57,1,9.36,0,-0.3
-0.35,1,8.34,0,-1.27
0.79,1,6.5,0,-0.23
0.69,0,10.75,0,1.85
-0.63,0,2.82,0,-0.53
-0.77,1,13.22,0,0.25
2.36,0,14.48,0,1.31
-0.19,1,13.75,1,-1.27
0.01,0,12.74,1,-1.63
-0.05,1,10.74,0,2.14
-0.57,1,10.48,0,2.88
